"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"42594-17-2";"100.050.802";"10 mg/L (1)";NA;10;10;"N/A"
"4261-67-0";"100.022.034";NA;NA;NA;NA;"Missing_PNEC"
"4261-68-1";"100.022.035";NA;NA;NA;NA;"Missing_PNEC"
"42613-21-8";"100.050.811";"-";NA;NA;NA;"Missing_PNEC"
"4262-43-5";"100.102.187";NA;NA;NA;NA;"Missing_PNEC"
"426218-78-2";"100.102.061";"1.8 mg/L (2)";NA;1.8;1.8;"N/A"
"4263-52-9";"100.022.041";NA;NA;NA;NA;"Missing_PNEC"
"4264-83-9";"100.022.042";NA;NA;NA;NA;"Missing_PNEC"
"4265-27-4";"100.022.046";NA;NA;NA;NA;"Missing_PNEC"
"4267-05-4";"100.022.049";NA;NA;NA;NA;"Missing_PNEC"
"4269-14-1";"100.354.512";NA;NA;NA;NA;"Missing_PNEC"
"427-49-6";"100.006.408";NA;NA;NA;NA;"Missing_PNEC"
"4271-96-9";"100.022.057";NA;NA;NA;NA;"Missing_PNEC"
"427165-44-4";"100.231.472";NA;NA;NA;NA;"Missing_PNEC"
"4273-92-1";"100.022.064";NA;NA;NA;NA;"Missing_PNEC"
"42739-64-0";"100.050.824";"-";NA;NA;NA;"Missing_PNEC"
"4274-03-7";"100.022.066";NA;NA;NA;NA;"Missing_PNEC"
"4274-38-8";"100.102.790";NA;NA;NA;NA;"Missing_PNEC"
"42753-80-0";"100.247.599";NA;NA;NA;NA;"Missing_PNEC"
"4277-06-9";"100.103.002";NA;NA;NA;NA;"Missing_PNEC"
"4277-34-3";"100.022.073";NA;NA;NA;NA;"Missing_PNEC"
"42774-15-2";"100.101.844";"14.8 mg/L (1)";NA;14.8;14.8;"N/A"
"42783-06-2";"100.050.837";NA;NA;NA;NA;"Missing_PNEC"
"42797-18-2";"100.223.653";"8.11 mg/L (1)";NA;8.11;8.11;"N/A"
"428-59-1";"100.006.411";"7.65 mg/L (1)";NA;7.65;7.65;"N/A"
"42823-46-1";"100.050.852";NA;NA;NA;NA;"Missing_PNEC"
"42831-50-5";"100.148.980";NA;NA;NA;NA;"Missing_PNEC"
"42844-93-9";"100.050.860";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4286-55-9";"100.126.807";NA;NA;NA;NA;"Missing_PNEC"
"42872-29-7";"100.050.874";NA;NA;NA;NA;"Missing_PNEC"
"42872-30-0";"100.050.875";NA;NA;NA;NA;"Missing_PNEC"
"42882-31-5";"100.124.331";NA;NA;NA;NA;"Missing_PNEC"
"428854-23-3";"100.304.668";NA;NA;NA;NA;"Missing_PNEC"
"42887-23-0";"100.100.552";NA;NA;NA;NA;"Missing_PNEC"
"429-06-1";"100.006.415";NA;NA;NA;NA;"Missing_PNEC"
"429-60-7";"100.006.419";NA;NA;NA;NA;"Missing_PNEC"
"4292-10-8";"100.022.084";"3 g/L (1)";NA;3000;3000;"N/A"
"42928-85-8";"100.050.896";NA;NA;NA;NA;"Missing_PNEC"
"4295-65-2";"100.022.094";NA;NA;NA;NA;"Missing_PNEC"
"429659-01-8";"100.104.430";NA;NA;NA;NA;"Missing_PNEC"
"42969-62-0";"100.126.324";NA;NA;NA;NA;"Missing_PNEC"
"4297-95-4";"100.022.096";NA;NA;NA;NA;"Missing_PNEC"
"42978-66-5";"100.050.921";"10 mg/L (1)";NA;10;10;"N/A"
"42986-22-1";"100.133.614";NA;NA;NA;NA;"Missing_PNEC"
"4299-07-4";"100.101.927";NA;NA;NA;NA;"Missing_PNEC"
"430-67-1";"100.197.321";NA;NA;NA;NA;"Missing_PNEC"
"4300-97-4";"100.022.102";NA;NA;NA;NA;"Missing_PNEC"
"43011-20-7";"100.105.610";"6 mg/L (1)";NA;6;6;"N/A"
"43028-69-9";"100.103.020";NA;NA;NA;NA;"Missing_PNEC"
"4303-67-7";"100.022.105";NA;NA;NA;NA;"Missing_PNEC"
"43035-18-3";"100.050.937";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"43048-08-4";"100.050.948";"10 mg/L (1)";NA;10;10;"N/A"
"43057-68-7";"100.102.290";NA;NA;NA;NA;"Missing_PNEC"
"4306-88-1";"100.022.110";"10 mg/L (1)";NA;10;10;"N/A"
"43076-61-5";"100.050.962";NA;NA;NA;NA;"Missing_PNEC"
"431-03-8";"100.006.428";NA;NA;NA;NA;"Missing_PNEC"
"431-35-6";"100.006.430";NA;NA;NA;NA;"Missing_PNEC"
"431-47-0";"100.006.432";NA;NA;NA;NA;"Missing_PNEC"
"431-89-0";"100.006.437";"1.73 mg/L (1)";NA;1.73;1.73;"N/A"
"43100-47-6";"100.118.912";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"43119-28-4";"100.122.342";NA;NA;NA;NA;"Missing_PNEC"
"43133-95-5";"100.167.504";NA;NA;NA;NA;"Missing_PNEC"
"43136-14-7";"100.100.826";"10 mg/L (1)";NA;10;10;"N/A"
"4314-14-1";"100.022.119";NA;NA;NA;NA;"Missing_PNEC"
"4316-73-8";"100.022.126";NA;NA;NA;NA;"Missing_PNEC"
"4316-74-9";"100.022.127";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"43170-88-3";"100.051.008";NA;NA;NA;NA;"Missing_PNEC"
"4318-56-3";"100.117.204";NA;NA;NA;NA;"Missing_PNEC"
"431947-34-1";"100.221.144";NA;NA;NA;NA;"Missing_PNEC"
"43200-81-3";"100.051.019";NA;NA;NA;NA;"Missing_PNEC"
"43200-82-4";"100.051.020";NA;NA;NA;NA;"Missing_PNEC"
"43200-83-5";"100.169.736";NA;NA;NA;NA;"Missing_PNEC"
"43200-88-0";"100.111.190";NA;NA;NA;NA;"Missing_PNEC"
"43224-75-5";"100.337.553";NA;NA;NA;NA;"Missing_PNEC"
"43229-65-8";"100.051.033";NA;NA;NA;NA;"Missing_PNEC"
"43229-66-9";"100.110.877";NA;NA;NA;NA;"Missing_PNEC"
"43229-70-5";"100.244.846";NA;NA;NA;NA;"Missing_PNEC"
"433334-19-1";"100.104.235";NA;NA;NA;NA;"Missing_PNEC"
"4335-77-7";"100.022.165";NA;NA;NA;NA;"Missing_PNEC"
"4337-75-1";"100.022.172";"5.1 mg/L (1)";NA;5.1;5.1;"N/A"
"433733-92-7";"100.130.834";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"433733-94-9";"100.110.541";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"434-03-7";"100.006.452";NA;NA;NA;NA;"Missing_PNEC"
"434-16-2";"100.006.456";NA;NA;NA;NA;"Missing_PNEC"
"434-22-0";"100.006.457";NA;NA;NA;NA;"Missing_PNEC"
"4345-03-3";"100.022.186";NA;NA;NA;NA;"Missing_PNEC"
"4346-18-3";"100.022.188";NA;NA;NA;NA;"Missing_PNEC"
"4355-11-7";"100.022.208";NA;NA;NA;NA;"Missing_PNEC"
"4359-47-1";"100.022.216";NA;NA;NA;NA;"Missing_PNEC"
"436083-99-7";"100.109.754";NA;NA;NA;NA;"Missing_PNEC"
"4368-56-3";"100.022.238";NA;NA;NA;NA;"Missing_PNEC"
"4369-14-6";"100.101.830";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"437-81-0";"100.120.427";NA;NA;NA;NA;"Missing_PNEC"
"437-86-5";"100.167.026";NA;NA;NA;NA;"Missing_PNEC"
"437717-43-6";"100.116.324";NA;NA;NA;NA;"Missing_PNEC"
"4378-61-4";"100.022.257";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"438056-69-0";"100.117.984";NA;NA;NA;NA;"Missing_PNEC"
"438193-30-7";"100.116.612";NA;NA;NA;NA;"Missing_PNEC"
"4390-04-9";"100.022.280";NA;NA;NA;NA;"Missing_PNEC"
"4394-00-7";"100.022.289";NA;NA;NA;NA;"Missing_PNEC"
"4394-85-8";"100.022.291";"2 g/L (1)";NA;2000;2000;"N/A"
"439661-46-8";"100.245.176";NA;NA;NA;NA;"Missing_PNEC"
"439685-73-1";"100.128.950";NA;NA;NA;NA;"Missing_PNEC"
"439685-79-7";"100.104.525";"-";NA;NA;NA;"Missing_PNEC"
"4402-30-6";"100.022.307";"7.19 mg/L (1)";NA;7.19;7.19;"N/A"
"4402-32-8";"100.022.308";NA;NA;NA;NA;"Missing_PNEC"
"4402-34-0";"100.247.476";NA;NA;NA;NA;"Missing_PNEC"
"4403-36-5";"100.118.730";NA;NA;NA;NA;"Missing_PNEC"
"4403-70-7";"100.101.159";NA;NA;NA;NA;"Missing_PNEC"
"4403-90-1";"100.022.316";NA;NA;NA;NA;"Missing_PNEC"
"4404-43-7";"100.022.318";"1 mg/L (1)";NA;1;1;"N/A"
"440667-78-7";"100.250.007";NA;NA;NA;NA;"Missing_PNEC"
"441349-84-4";"100.267.912";NA;NA;NA;NA;"Missing_PNEC"
"4415-82-1";"100.022.343";NA;NA;NA;NA;"Missing_PNEC"
"4418-26-2";"100.022.347";"3.8 mg/L (1)";NA;3.8;3.8;"N/A"
"4418-61-5";"100.022.348";NA;NA;NA;NA;"Missing_PNEC"
"4419-11-8";"100.022.350";"28 mg/L (1)";NA;28;28;"N/A"
"4419-39-0";"100.022.352";NA;NA;NA;NA;"Missing_PNEC"
"4419-47-0";"100.103.483";NA;NA;NA;NA;"Missing_PNEC"
"442-16-0";"100.006.484";NA;NA;NA;NA;"Missing_PNEC"
"4420-74-0";"100.022.354";"2.6 mg/L (1)";NA;2.6;2.6;"N/A"
"4422-95-1";"100.022.360";NA;NA;NA;NA;"Missing_PNEC"
"4424-06-0";"100.022.363";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4425-93-8";"100.114.003";NA;NA;NA;NA;"Missing_PNEC"
"4427-96-7";"100.148.919";"10 mg/L (2)";NA;10;10;"N/A"
"443-48-1";"100.006.489";NA;NA;NA;NA;"Missing_PNEC"
"443-83-4";"100.006.494";NA;NA;NA;NA;"Missing_PNEC"
"4430-18-6";"100.022.381";NA;NA;NA;NA;"Missing_PNEC"
"4430-31-3";"100.022.386";"32 mg/L (1)";NA;32;32;"N/A"
"4431-83-8";"100.022.393";"10 mg/L (1)";NA;10;10;"N/A"
"4432-31-9";"100.022.394";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4433-36-7";"100.022.396";NA;NA;NA;NA;"Missing_PNEC"
"4433-79-8";"100.022.399";NA;NA;NA;NA;"Missing_PNEC"
"4435-53-4";"100.022.405";"1 g/L (1)";NA;1000;1000;"N/A"
"443688-20-8";"100.103.829";NA;NA;NA;NA;"Missing_PNEC"
"4437-85-8";"100.100.548";NA;NA;NA;NA;"Missing_PNEC"
"443874-49-5";"100.110.049";NA;NA;NA;NA;"Missing_PNEC"
"4439-24-1";"100.022.417";NA;NA;NA;NA;"Missing_PNEC"
"443965-79-5";"100.104.744";NA;NA;NA;NA;"Missing_PNEC"
"443965-81-9";"100.104.788";NA;NA;NA;NA;"Missing_PNEC"
"444-14-4";"100.102.778";NA;NA;NA;NA;"Missing_PNEC"
"444065-11-6";"100.104.139";"1 mg/L (1)";NA;1;1;"N/A"
"444085-42-1";"100.103.796";NA;NA;NA;NA;"Missing_PNEC"
"4441-12-7";"100.022.421";NA;NA;NA;NA;"Missing_PNEC"
"4442-79-9";"100.022.430";NA;NA;NA;NA;"Missing_PNEC"
"4443-23-6";"100.243.108";NA;NA;NA;NA;"Missing_PNEC"
"4443-26-9";"100.022.433";"-";NA;NA;NA;"Missing_PNEC"
"4445-07-2";"100.022.441";NA;NA;NA;NA;"Missing_PNEC"
"444649-70-1";"100.247.038";"5.4 mg/L (1)";NA;5.4;5.4;"N/A"
"444731-72-0";"100.129.647";NA;NA;NA;NA;"Missing_PNEC"
"444731-74-2";"100.237.997";NA;NA;NA;NA;"Missing_PNEC"
"444731-75-3";"100.237.996";NA;NA;NA;NA;"Missing_PNEC"
"444996-79-6";"100.279.418";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"445-03-4";"100.006.503";NA;NA;NA;NA;"Missing_PNEC"
"445-27-2";"100.006.507";NA;NA;NA;NA;"Missing_PNEC"
"445-29-4";"100.006.509";NA;NA;NA;NA;"Missing_PNEC"
"4454-05-1";"100.022.454";"3.806 g/L (1)";NA;3806;3806;"N/A"
"4454-16-4";"100.022.455";"330 - 71 700 µg/L (3)";NA;0.33;71.7;"Bad_value_repaired"
"445409-27-8";"100.102.872";"10 mg/L (1)";NA;10;10;"N/A"
"4457-32-3";"100.022.463";NA;NA;NA;NA;"Missing_PNEC"
"4457-71-0";"100.022.464";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4462-55-9";"100.022.477";NA;NA;NA;NA;"Missing_PNEC"
"446292-04-2";"100.129.862";NA;NA;NA;NA;"Missing_PNEC"
"446292-07-5";"100.129.357";NA;NA;NA;NA;"Missing_PNEC"
"446292-08-6";"100.129.479";NA;NA;NA;NA;"Missing_PNEC"
"446299-80-5";"100.130.974";NA;NA;NA;NA;"Missing_PNEC"
"446299-81-6";"100.131.516";NA;NA;NA;NA;"Missing_PNEC"
"446299-90-7";"100.127.551";NA;NA;NA;NA;"Missing_PNEC"
"4463-59-6";"100.100.387";NA;NA;NA;NA;"Missing_PNEC"
"4468-02-4";"100.022.489";"362.4 µg/L (1)";NA;0.3624;0.3624;"N/A"
"447-61-0";"100.006.534";NA;NA;NA;NA;"Missing_PNEC"
"4470-83-1";"100.155.789";NA;NA;NA;NA;"Missing_PNEC"
"4474-24-2";"100.022.500";NA;NA;NA;NA;"Missing_PNEC"
"44767-62-6";"100.155.469";NA;NA;NA;NA;"Missing_PNEC"
"4477-28-5";"100.022.507";NA;NA;NA;NA;"Missing_PNEC"
"4482-25-1";"100.022.514";NA;NA;NA;NA;"Missing_PNEC"
"4485-12-5";"100.022.521";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4488-57-7";"100.022.527";"177 µg/L (1)";NA;0.177;0.177;"N/A"
"44914-03-6";"100.051.047";"10 mg/L (1)";NA;10;10;"N/A"
"4494-16-0";"100.120.995";NA;NA;NA;NA;"Missing_PNEC"
"4497-58-9";"100.022.539";NA;NA;NA;NA;"Missing_PNEC"
"4497-59-0";"100.306.225";NA;NA;NA;NA;"Missing_PNEC"
"449758-17-2";"100.235.821";NA;NA;NA;NA;"Missing_PNEC"
"4498-67-3";"100.022.541";NA;NA;NA;NA;"Missing_PNEC"
"4499-86-9";"100.022.547";NA;NA;NA;NA;"Missing_PNEC"
"4499-91-6";"100.022.548";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"44992-01-0";"100.051.052";"19.5 mg/L (1)";NA;19.5;19.5;"N/A"
"450-93-1";"100.154.881";NA;NA;NA;NA;"Missing_PNEC"
"4500-29-2";"100.022.555";"50 mg/L (1)";NA;50;50;"N/A"
"4501-58-0";"100.022.561";NA;NA;NA;NA;"Missing_PNEC"
"45021-77-0";"100.051.057";"400 mg/L (1)";NA;400;400;"N/A"
"4504-87-4";"100.022.565";NA;NA;NA;NA;"Missing_PNEC"
"4504-88-5";"100.022.566";NA;NA;NA;NA;"Missing_PNEC"
"4509-90-4";"100.157.552";NA;NA;NA;NA;"Missing_PNEC"
"451-40-1";"100.006.541";NA;NA;NA;NA;"Missing_PNEC"
"45101-66-4";"100.244.640";NA;NA;NA;NA;"Missing_PNEC"
"45103-58-0";"100.051.065";NA;NA;NA;NA;"Missing_PNEC"
"4511-42-6";"100.022.576";"10 mg/L (1)";NA;10;10;"N/A"
"452081-72-0";"100.250.126";NA;NA;NA;NA;"Missing_PNEC"
"4521-28-2";"100.022.592";NA;NA;NA;NA;"Missing_PNEC"
"4521-61-3";"100.022.594";NA;NA;NA;NA;"Missing_PNEC"
"45214-91-3";"100.315.168";NA;NA;NA;NA;"Missing_PNEC"
"4524-95-2";"100.100.641";NA;NA;NA;NA;"Missing_PNEC"
"4525-75-1";"100.243.506";NA;NA;NA;NA;"Missing_PNEC"
"45267-68-3";"100.102.083";NA;NA;NA;NA;"Missing_PNEC"
"45294-18-6";"100.051.093";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"452962-97-9";"100.103.980";NA;NA;NA;NA;"Missing_PNEC"
"4530-20-5";"100.022.605";NA;NA;NA;NA;"Missing_PNEC"
"4531-49-1";"100.022.608";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4531-53-7";"100.022.609";NA;NA;NA;NA;"Missing_PNEC"
"45320-65-8";"100.051.104";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"45378-62-9";"100.051.109";NA;NA;NA;NA;"Missing_PNEC"
"4538-42-5";"100.234.418";"1 mg/L (1)";NA;1;1;"N/A"
"454-31-9";"100.006.568";NA;NA;NA;NA;"Missing_PNEC"
"454-89-7";"100.006.572";NA;NA;NA;NA;"Missing_PNEC"
"4546-04-7";"100.022.639";NA;NA;NA;NA;"Missing_PNEC"
"4546-55-8";"100.132.658";NA;NA;NA;NA;"Missing_PNEC"
"4547-02-8";"100.128.457";NA;NA;NA;NA;"Missing_PNEC"
"4548-53-2";"100.022.646";NA;NA;NA;NA;"Missing_PNEC"
"455-14-1";"100.006.579";"-";NA;NA;NA;"Missing_PNEC"
"455-18-5";"100.006.582";NA;NA;NA;NA;"Missing_PNEC"
"455-20-9";"100.006.584";NA;NA;NA;NA;"Missing_PNEC"
"455-88-9";"100.006.593";NA;NA;NA;NA;"Missing_PNEC"
"4553-62-2";"100.022.658";NA;NA;NA;NA;"Missing_PNEC"
"4553-89-3";"100.022.659";"659.721 mg/L (1)";NA;659.721;659.721;"N/A"
"4559-86-8";"100.022.664";"50 mg/L (1)";NA;50;50;"N/A"
"456-04-2";"100.006.598";NA;NA;NA;NA;"Missing_PNEC"
"456-42-8";"100.006.605";NA;NA;NA;NA;"Missing_PNEC"
"456-64-4";"100.232.901";NA;NA;NA;NA;"Missing_PNEC"
"4560-68-3";"100.022.666";NA;NA;NA;NA;"Missing_PNEC"
"4563-56-8";"100.256.333";"200 mg/L (1)";NA;200;200;"N/A"
"457-68-1";"100.006.614";NA;NA;NA;NA;"Missing_PNEC"
"4573-50-6";"100.022.689";NA;NA;NA;NA;"Missing_PNEC"
"45738-97-4";"100.250.538";NA;NA;NA;NA;"Missing_PNEC"
"457624-86-1";"100.103.794";NA;NA;NA;NA;"Missing_PNEC"
"457632-32-5";"100.105.203";NA;NA;NA;NA;"Missing_PNEC"
"4584-46-7";"100.022.701";NA;NA;NA;NA;"Missing_PNEC"
"4584-49-0";"100.022.702";NA;NA;NA;NA;"Missing_PNEC"
"459-57-4";"100.006.631";NA;NA;NA;NA;"Missing_PNEC"
"459-89-2";"100.238.437";NA;NA;NA;NA;"Missing_PNEC"
"460-00-4";"100.006.638";NA;NA;NA;NA;"Missing_PNEC"
"460-19-5";"100.006.643";"50 µg/L (1)";NA;0.05;0.05;"N/A"
"460-73-1";"100.101.793";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4602-84-0";"100.022.731";"10 mg/L (1)";NA;10;10;"N/A"
"4605-14-5";"100.022.734";"3.4 mg/L (1)";NA;3.4;3.4;"N/A"
"4606-07-9";"100.022.737";NA;NA;NA;NA;"Missing_PNEC"
"460989-67-7";"100.103.739";NA;NA;NA;NA;"Missing_PNEC"
"461-58-5";"100.006.649";"34 mg/L (1)";NA;34;34;"N/A"
"461-72-3";"100.006.650";NA;NA;NA;NA;"Missing_PNEC"
"461-82-5";"100.006.653";NA;NA;NA;NA;"Missing_PNEC"
"461-84-7";"100.149.512";NA;NA;NA;NA;"Missing_PNEC"
"461-96-1";"100.101.560";NA;NA;NA;NA;"Missing_PNEC"
"461432-22-4";"100.158.936";NA;NA;NA;NA;"Missing_PNEC"
"461432-23-5";"100.164.674";NA;NA;NA;NA;"Missing_PNEC"
"461432-25-7";"100.116.056";"100 mg/L (1)";NA;100;100;"N/A"
"462-06-6";"100.006.657";"1.4 mg/L (1)";NA;1.4;1.4;"N/A"
"462-08-8";"100.006.658";NA;NA;NA;NA;"Missing_PNEC"
"462-20-4";"100.120.390";NA;NA;NA;NA;"Missing_PNEC"
"462-34-0";"100.006.661";"10 mg/L (1)";NA;10;10;"N/A"
"462-40-8";"100.224.367";NA;NA;NA;NA;"Missing_PNEC"
"462-94-2";"100.006.664";"6.95 mg/L (1)";NA;6.95;6.95;"N/A"
"462-95-3";"100.006.665";"1 mg/L (1)";NA;1;1;"N/A"
"4621-04-9";"100.022.759";NA;NA;NA;NA;"Missing_PNEC"
"46235-93-2";"100.051.129";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"463-04-7";"100.006.667";NA;NA;NA;NA;"Missing_PNEC"
"463-49-0";"100.006.670";NA;NA;NA;NA;"Missing_PNEC"
"463-71-8";"100.006.675";NA;NA;NA;NA;"Missing_PNEC"
"463-77-4";"100.103.612";NA;NA;NA;NA;"Missing_PNEC"
"4635-59-0";"100.022.781";"20 mg/L (1)";NA;20;20;"N/A"
"4635-87-4";"100.022.782";NA;NA;NA;NA;"Missing_PNEC"
"46350-87-2";"100.131.104";NA;NA;NA;NA;"Missing_PNEC"
"4637-24-5";"100.022.785";NA;NA;NA;NA;"Missing_PNEC"
"464-06-2";"100.006.680";NA;NA;NA;NA;"Missing_PNEC"
"464-45-9";"100.006.686";"10 mg/L (1)";NA;10;10;"N/A"
"464-49-3";"100.006.688";"1 mg/L (1)";NA;1;1;"N/A"
"464-92-6";"100.105.405";NA;NA;NA;NA;"Missing_PNEC"
"464207-51-0";"100.301.837";NA;NA;NA;NA;"Missing_PNEC"
"4645-32-3";"100.022.797";NA;NA;NA;NA;"Missing_PNEC"
"4648-54-8";"100.022.798";NA;NA;NA;NA;"Missing_PNEC"
"46492-07-3";"100.102.449";NA;NA;NA;NA;"Missing_PNEC"
"465-65-6";"100.006.697";NA;NA;NA;NA;"Missing_PNEC"
"4651-67-6";"100.022.803";"100 mg/L (1)";NA;100;100;"N/A"
"4651-94-9";"100.119.022";NA;NA;NA;NA;"Missing_PNEC"
"4657-00-5";"100.022.816";NA;NA;NA;NA;"Missing_PNEC"
"4659-45-4";"100.022.820";NA;NA;NA;NA;"Missing_PNEC"
"466-99-9";"100.006.713";NA;NA;NA;NA;"Missing_PNEC"
"467-04-9";"100.006.715";NA;NA;NA;NA;"Missing_PNEC"
"467-62-9";"100.006.724";NA;NA;NA;NA;"Missing_PNEC"
"467-63-0";"100.006.725";NA;NA;NA;NA;"Missing_PNEC"
"4670-56-8";"100.022.833";NA;NA;NA;NA;"Missing_PNEC"
"4672-38-2";"100.022.837";NA;NA;NA;NA;"Missing_PNEC"
"46728-75-0";"100.051.143";NA;NA;NA;NA;"Missing_PNEC"
"46729-07-1";"100.051.144";"85 mg/L (1)";NA;85;85;"N/A"
"467426-34-2";"100.115.513";NA;NA;NA;NA;"Missing_PNEC"
"467430-13-3";"100.118.089";NA;NA;NA;NA;"Missing_PNEC"
"46755-94-6";"100.103.874";NA;NA;NA;NA;"Missing_PNEC"
"468-28-0";"100.006.734";"10 mg/L (1)";NA;10;10;"N/A"
"468-61-1";"100.006.740";NA;NA;NA;NA;"Missing_PNEC"
"4681-22-5";"100.022.848";NA;NA;NA;NA;"Missing_PNEC"
"4682-01-3";"100.101.390";NA;NA;NA;NA;"Missing_PNEC"
"4682-03-5";"100.022.849";NA;NA;NA;NA;"Missing_PNEC"
"46830-22-2";"100.051.150";"19.5 mg/L (1)";NA;19.5;19.5;"N/A"
"4684-28-0";"100.022.853";NA;NA;NA;NA;"Missing_PNEC"
"468758-27-2";"100.105.076";NA;NA;NA;NA;"Missing_PNEC"
"469-21-6";"100.006.742";NA;NA;NA;NA;"Missing_PNEC"
"46921-17-9";"100.212.766";NA;NA;NA;NA;"Missing_PNEC"
"46948-72-5";"100.051.155";NA;NA;NA;NA;"Missing_PNEC"
"4696-57-5";"100.022.879";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4698-11-7";"100.022.883";NA;NA;NA;NA;"Missing_PNEC"
"470-82-6";"100.006.757";"10 mg/L (1)";NA;10;10;"N/A"
"4702-13-0";"100.022.888";NA;NA;NA;NA;"Missing_PNEC"
"4702-90-3";"100.022.894";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"4706-78-9";"100.022.900";NA;NA;NA;NA;"Missing_PNEC"
"4707-47-5";"100.022.902";"10 mg/L (1)";NA;10;10;"N/A"
"4707-49-7";"100.127.849";NA;NA;NA;NA;"Missing_PNEC"
"47073-92-7";"100.100.731";NA;NA;NA;NA;"Missing_PNEC"
"4708-04-7";"100.022.904";NA;NA;NA;NA;"Missing_PNEC"
"471-01-2";"100.006.760";NA;NA;NA;NA;"Missing_PNEC"
"471-25-0";"100.006.763";NA;NA;NA;NA;"Missing_PNEC"
"471-34-1";"100.006.765";"100 mg/L (3)";NA;100;100;"N/A"
"471-53-4";"100.006.769";NA;NA;NA;NA;"Missing_PNEC"
"47107-74-4";"100.051.162";"10 mg/L (1)";NA;10;10;"N/A"
"4711-68-6";"100.022.909";NA;NA;NA;NA;"Missing_PNEC"
"4712-55-4";"100.022.911";NA;NA;NA;NA;"Missing_PNEC"
"4717-96-8";"100.022.915";"5.4 mg/L (1)";NA;5.4;5.4;"N/A"
"4719-04-4";"100.022.916";"5.5 mg/L (1)";NA;5.5;5.5;"N/A"
"4720-86-9";"100.022.919";NA;NA;NA;NA;"Missing_PNEC"
"4724-48-5";"100.022.925";"100 mg/L (2)";NA;100;100;"N/A"
"4731-53-7";"100.022.940";NA;NA;NA;NA;"Missing_PNEC"
"473257-14-6";"100.127.590";NA;NA;NA;NA;"Missing_PNEC"
"473257-15-7";"100.127.686";NA;NA;NA;NA;"Missing_PNEC"
"473278-76-1";"100.223.364";"100 mg/L (1)";NA;100;100;"N/A"
"4736-60-1";"100.022.950";NA;NA;NA;NA;"Missing_PNEC"
"473799-16-5";"100.218.782";NA;NA;NA;NA;"Missing_PNEC"
"4739-94-0";"100.154.068";NA;NA;NA;NA;"Missing_PNEC"
"473918-41-1";"100.221.291";NA;NA;NA;NA;"Missing_PNEC"
"473927-63-8";"100.225.268";NA;NA;NA;NA;"Missing_PNEC"
"474-25-9";"100.006.803";"100 mg/L (1)";NA;100;100;"N/A"
"474024-38-9";"100.109.325";NA;NA;NA;NA;"Missing_PNEC"
"474044-10-5";"100.104.060";NA;NA;NA;NA;"Missing_PNEC"
"474266-68-7";"100.218.775";NA;NA;NA;NA;"Missing_PNEC"
"4744-50-7";"100.022.964";NA;NA;NA;NA;"Missing_PNEC"
"474510-57-1";"100.103.987";"10 mg/L (2)";NA;10;10;"N/A"
"4747-07-3";"100.022.966";NA;NA;NA;NA;"Missing_PNEC"
"4747-21-1";"100.022.969";"16 mg/L (1)";NA;16;16;"N/A"
"474754-93-3";"100.104.156";"-";NA;NA;NA;"Missing_PNEC"
"4748-78-1";"100.022.971";NA;NA;NA;NA;"Missing_PNEC"
"475-20-7";"100.006.812";NA;NA;NA;NA;"Missing_PNEC"
"475112-25-5";"100.121.893";NA;NA;NA;NA;"Missing_PNEC"
"4755-77-5";"100.022.986";NA;NA;NA;NA;"Missing_PNEC"
"475644-24-7";"100.275.181";NA;NA;NA;NA;"Missing_PNEC"
"4763-40-0";"100.023.002";NA;NA;NA;NA;"Missing_PNEC"
"4763-79-5";"100.023.003";NA;NA;NA;NA;"Missing_PNEC"
"476332-63-5";"100.127.752";NA;NA;NA;NA;"Missing_PNEC"
"4767-03-7";"100.023.006";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"477-29-2";"100.006.831";NA;NA;NA;NA;"Missing_PNEC"
"4771-80-6";"100.023.013";NA;NA;NA;NA;"Missing_PNEC"
